contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,expiry,days_to_expiry,spot_price,moneyness,date_collected
SPY250630C00507000,2025-06-27 19:22:56+00:00,507.0,105.1,106.43,108.57,22.21,26.794546,4.0,0,1.3842804223632812,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8245109400442793,2025-06-29 12:49:52.353214
SPY250630C00508000,2025-06-27 19:22:56+00:00,508.0,104.16,105.43,107.57,15.910004,18.028332,4.0,0,1.3720734521484375,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8261371943638932,2025-06-29 12:49:52.353214
SPY250630C00509000,2025-06-17 14:03:56+00:00,509.0,91.7,104.43,106.57,0.0,0.0,2.0,0,1.3603547607421875,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8277634486835073,2025-06-29 12:49:52.353214
SPY250630C00510000,2025-06-27 18:58:25+00:00,510.0,100.82,103.43,105.57,15.82,18.611765,22.0,9,1.3486360693359374,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8293897030031212,2025-06-29 12:49:52.353214
SPY250630C00511000,2025-06-18 18:54:30+00:00,511.0,87.26,102.43,104.57,0.0,0.0,1.0,0,1.3364290991210934,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8310159573227351,2025-06-29 12:49:52.353214
SPY250630C00512000,2025-06-18 18:54:30+00:00,512.0,86.24,101.43,103.57,0.0,0.0,1.0,0,1.32422212890625,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8326422116423491,2025-06-29 12:49:52.353214
SPY250630C00513000,2025-06-16 15:18:51+00:00,513.0,91.27,100.43,102.57,0.0,0.0,1.0,0,1.3125034374999998,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.834268465961963,2025-06-29 12:49:52.353214
SPY250630C00514000,2025-06-18 18:57:01+00:00,514.0,83.65,99.43,101.57,0.0,0.0,1.0,0,1.3007847460937496,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8358947202815771,2025-06-29 12:49:52.353214
SPY250630C00515000,2025-06-20 15:07:56+00:00,515.0,80.0,98.43,100.57,0.0,0.0,21.0,26,1.2890660546875,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.837520974601191,2025-06-29 12:49:52.353214
SPY250630C00516000,2025-06-16 13:32:43+00:00,516.0,85.4,97.43,99.57,0.0,0.0,2.0,0,1.276859084472656,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.839147228920805,2025-06-29 12:49:52.353214
SPY250630C00517000,2025-05-02 14:13:55+00:00,517.0,56.04,72.71,75.27,0.0,0.0,1.0,88,1.0000000000000003e-05,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8407734832404189,2025-06-29 12:49:52.353214
SPY250630C00518000,2025-06-27 15:41:01+00:00,518.0,98.05,95.43,97.57,17.220001,21.303972,1.0,2,1.2529334228515623,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.842399737560033,2025-06-29 12:49:52.353214
SPY250630C00519000,2025-06-13 14:02:29+00:00,519.0,79.49,94.43,96.57,0.0,0.0,2.0,0,1.2412147314453121,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8440259918796469,2025-06-29 12:49:52.353214
SPY250630C00520000,2025-06-27 14:18:35+00:00,520.0,95.0,93.43,95.57,3.5100021,3.8364873,1.0,159,1.2294960400390624,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8456522461992608,2025-06-29 12:49:52.353214
SPY250630C00521000,2025-06-11 18:37:32+00:00,521.0,81.21,92.43,94.57,0.0,0.0,1.0,6,1.2177773486328123,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8472785005188748,2025-06-29 12:49:52.353214
SPY250630C00522000,2025-06-20 13:57:54+00:00,522.0,76.34,91.43,93.57,0.0,0.0,3.0,1,1.2060586572265624,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8489047548384887,2025-06-29 12:49:52.353214
SPY250630C00523000,2025-06-18 19:00:57+00:00,523.0,73.86,90.43,92.57,0.0,0.0,3.0,0,1.1938516870117186,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8505310091581028,2025-06-29 12:49:52.353214
SPY250630C00524000,2025-06-26 13:40:51+00:00,524.0,85.0,89.43,91.57,0.0,0.0,2.0,2,1.1821329956054685,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8521572634777167,2025-06-29 12:49:52.353214
SPY250630C00525000,2025-06-27 13:37:35+00:00,525.0,88.27,88.43,90.57,18.269997,26.099995,1.0,22,1.1704143041992188,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8537835177973306,2025-06-29 12:49:52.353214
SPY250630C00526000,2025-06-20 17:35:17+00:00,526.0,68.31,87.43,89.57,0.0,0.0,1.0,1,1.1586956127929686,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8554097721169446,2025-06-29 12:49:52.353214
SPY250630C00527000,2025-06-18 19:03:47+00:00,527.0,70.5,86.44,88.57,0.0,0.0,4.0,0,1.1464886425781249,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8570360264365585,2025-06-29 12:49:52.353214
SPY250630C00528000,2025-06-26 16:57:00+00:00,528.0,82.75,85.44,87.57,0.0,0.0,1.0,7,1.1347699511718752,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8586622807561726,2025-06-29 12:49:52.353214
SPY250630C00529000,2025-06-18 19:05:43+00:00,529.0,69.07,84.44,86.57,0.0,0.0,2.0,0,1.123051259765625,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8602885350757865,2025-06-29 12:49:52.353214
SPY250630C00530000,2025-06-26 18:52:25+00:00,530.0,81.51,83.43,85.57,0.0,0.0,1.0,3,1.111332568359375,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8619147893954004,2025-06-29 12:49:52.353214
SPY250630C00531000,2025-06-18 19:15:16+00:00,531.0,67.37,82.43,84.57,0.0,0.0,2.0,0,1.0996138769531252,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8635410437150144,2025-06-29 12:49:52.353214
SPY250630C00532000,2025-06-20 14:01:52+00:00,532.0,66.08,81.43,83.57,0.0,0.0,29.0,18,1.087895185546875,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8651672980346283,2025-06-29 12:49:52.353214
SPY250630C00533000,2025-06-26 19:23:13+00:00,533.0,79.0,80.43,82.57,0.0,0.0,5.0,5,1.076176494140625,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8667935523542424,2025-06-29 12:49:52.353214
SPY250630C00534000,2025-06-18 18:53:04+00:00,534.0,64.78,79.43,81.57,0.0,0.0,7.0,0,1.0644578027343752,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8684198066738563,2025-06-29 12:49:52.353214
SPY250630C00535000,2025-06-20 15:02:18+00:00,535.0,59.68,78.44,80.57,0.0,0.0,42.0,17,1.052739111328125,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8700460609934703,2025-06-29 12:49:52.353214
SPY250630C00536000,2025-06-20 13:31:16+00:00,536.0,62.41,77.44,79.57,0.0,0.0,5.0,5,1.0410204199218753,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8716723153130842,2025-06-29 12:49:52.353214
SPY250630C00537000,2025-06-24 13:59:02+00:00,537.0,67.4,76.44,78.57,0.0,0.0,2.0,1,1.0293017285156252,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8732985696326981,2025-06-29 12:49:52.353214
SPY250630C00538000,2025-06-18 19:08:25+00:00,538.0,59.83,75.44,77.57,0.0,0.0,9.0,1,1.017583037109375,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8749248239523122,2025-06-29 12:49:52.353214
SPY250630C00539000,2025-06-18 19:12:29+00:00,539.0,58.47,74.44,76.57,0.0,0.0,5.0,0,1.0058643457031249,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8765510782719261,2025-06-29 12:49:52.353214
SPY250630C00540000,2025-06-27 19:58:58+00:00,540.0,75.07,73.44,75.57,9.050003,13.7079735,32.0,101,0.9941406835937501,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8781773325915401,2025-06-29 12:49:52.353214
SPY250630C00541000,2025-06-18 20:12:36+00:00,541.0,56.86,72.44,74.58,0.0,0.0,6.0,0,0.9853517089843751,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.879803586911154,2025-06-29 12:49:52.353214
SPY250630C00542000,2025-06-25 13:58:29+00:00,542.0,66.53,71.44,73.58,0.0,0.0,4.0,4,0.973633076171875,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8814298412307681,2025-06-29 12:49:52.353214
SPY250630C00543000,2025-06-18 20:13:24+00:00,543.0,54.94,70.44,72.58,0.0,0.0,6.0,1,0.9619144433593749,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.883056095550382,2025-06-29 12:49:52.353214
SPY250630C00544000,2025-06-27 13:52:02+00:00,544.0,70.0,69.44,71.58,16.060001,29.773825,1.0,1,0.9497075341796875,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8846823498699959,2025-06-29 12:49:52.353214
SPY250630C00545000,2025-06-25 19:52:57+00:00,545.0,62.07,68.44,70.58,0.0,0.0,1.0,18,0.9379889013671875,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8863086041896099,2025-06-29 12:49:52.353214
SPY250630C00546000,2025-06-27 15:40:41+00:00,546.0,70.0,67.44,69.58,18.46,35.81684,32.0,33,0.9262702685546875,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8879348585092238,2025-06-29 12:49:52.353214
SPY250630C00547000,2025-06-20 15:01:03+00:00,547.0,47.63,66.44,68.58,0.0,0.0,1.0,2,0.9145516357421876,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8895611128288379,2025-06-29 12:49:52.353214
SPY250630C00548000,2025-06-18 20:14:57+00:00,548.0,49.89,65.44,67.58,0.0,0.0,4.0,3,0.9028330029296875,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8911873671484518,2025-06-29 12:49:52.353214
