contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration,retrieved,ticker,moneyness,days_to_exp,target
AAPL250620C00245000,2025-06-13 18:28:37+00:00,245.0,0.01,0.0,0.02,-0.01,-50.0,328.0,23310,0.5937540625000001,False,REGULAR,USD,2025-06-20,2025-06-15 13:42:22.069277,AAPL,24500.0,4,1
AAPL250620C00250000,2025-06-13 19:45:40+00:00,250.0,0.01,0.0,0.01,0.0,0.0,283.0,29776,0.6093789062500001,False,REGULAR,USD,2025-06-20,2025-06-15 13:42:22.069277,AAPL,25000.0,4,1
AAPL250620C00255000,2025-06-13 18:49:15+00:00,255.0,0.01,0.0,0.01,0.0,0.0,15.0,7661,0.6562534375000001,False,REGULAR,USD,2025-06-20,2025-06-15 13:42:22.069277,AAPL,25500.0,4,1
AAPL250620C00260000,2025-06-13 19:48:24+00:00,260.0,0.01,0.0,0.01,0.0,0.0,30.0,26962,0.70312796875,False,REGULAR,USD,2025-06-20,2025-06-15 13:42:22.069277,AAPL,26000.0,4,1
AAPL250620C00265000,2025-06-13 18:17:17+00:00,265.0,0.01,0.0,0.01,0.0,0.0,54.0,11527,0.7500025,False,REGULAR,USD,2025-06-20,2025-06-15 13:42:22.069277,AAPL,26500.0,4,1
AAPL250620C00270000,2025-06-13 19:11:19+00:00,270.0,0.01,0.0,0.01,0.0,0.0,49.0,15861,0.7812521875,False,REGULAR,USD,2025-06-20,2025-06-15 13:42:22.069277,AAPL,27000.0,4,1
AAPL250620C00275000,2025-06-10 19:51:29+00:00,275.0,0.01,0.0,0.01,0.0,0.0,5.0,8685,0.8125018749999999,False,REGULAR,USD,2025-06-20,2025-06-15 13:42:22.069277,AAPL,27500.0,4,1
AAPL250620C00280000,2025-06-13 19:11:19+00:00,280.0,0.01,0.0,0.01,0.0,0.0,15.0,13715,0.87500125,False,REGULAR,USD,2025-06-20,2025-06-15 13:42:22.069277,AAPL,28000.0,4,1
AAPL250620C00285000,2025-06-13 17:55:50+00:00,285.0,0.01,0.0,0.01,0.0,0.0,1.0,4803,0.9062509375,False,REGULAR,USD,2025-06-20,2025-06-15 13:42:22.069277,AAPL,28500.0,4,1
AAPL250620C00290000,2025-06-10 14:06:37+00:00,290.0,0.01,0.0,0.01,0.0,0.0,5.0,6868,0.937500625,False,REGULAR,USD,2025-06-20,2025-06-15 13:42:22.069277,AAPL,29000.0,4,1
AAPL250620C00295000,2025-06-13 14:23:50+00:00,295.0,0.01,0.0,0.01,-0.01,-50.0,23.0,2979,0.9687503125,False,REGULAR,USD,2025-06-20,2025-06-15 13:42:22.069277,AAPL,29500.0,4,1
AAPL250620C00300000,2025-06-09 16:26:23+00:00,300.0,0.01,0.0,0.01,0.0,0.0,151.0,28359,1.0312548437500002,False,REGULAR,USD,2025-06-20,2025-06-15 13:42:22.069277,AAPL,30000.0,4,1
AAPL250620C00310000,2025-06-12 16:15:24+00:00,310.0,0.01,0.0,0.01,0.0,0.0,10.0,8149,1.09375453125,False,REGULAR,USD,2025-06-20,2025-06-15 13:42:22.069277,AAPL,31000.0,4,1
AAPL250620C00320000,2025-06-02 14:18:07+00:00,320.0,0.01,0.0,0.01,0.0,0.0,10.0,7177,1.15625421875,False,REGULAR,USD,2025-06-20,2025-06-15 13:42:22.069277,AAPL,32000.0,4,1
AAPL250620C00330000,2025-06-05 17:48:54+00:00,330.0,0.01,0.0,0.01,0.0,0.0,6.0,2731,1.21875390625,False,REGULAR,USD,2025-06-20,2025-06-15 13:42:22.069277,AAPL,33000.0,4,1
AAPL250620C00340000,2025-05-23 16:47:17+00:00,340.0,0.01,0.0,0.01,0.0,0.0,1.0,2357,1.2812535937499998,False,REGULAR,USD,2025-06-20,2025-06-15 13:42:22.069277,AAPL,34000.0,4,1
AAPL250620C00350000,2025-06-09 15:32:45+00:00,350.0,0.01,0.0,0.01,0.0,0.0,1.0,8582,1.3437532812499997,False,REGULAR,USD,2025-06-20,2025-06-15 13:42:22.069277,AAPL,35000.0,4,1
AAPL250620C00360000,2025-06-11 13:47:14+00:00,360.0,0.01,0.0,0.01,0.0,0.0,2.0,7272,1.40625296875,False,REGULAR,USD,2025-06-20,2025-06-15 13:42:22.069277,AAPL,36000.0,4,1
AAPL250627C00110000,2025-05-28 13:56:30+00:00,110.0,90.89,85.55,87.15,0.0,0.0,1.0,7,1.720704521484375,True,REGULAR,USD,2025-06-27,2025-06-15 13:42:22.240269,AAPL,1.2102541533722082,11,1
AAPL250627C00120000,2025-06-05 19:15:33+00:00,120.0,82.1,76.05,77.15,0.0,0.0,1.0,0,1.169926025390625,True,REGULAR,USD,2025-06-27,2025-06-15 13:42:22.240269,AAPL,1.4616321559074301,11,1
AAPL250627C00130000,2025-06-04 19:34:09+00:00,130.0,73.6,65.6,67.8,0.0,0.0,1.0,0,1.0751999365234377,True,REGULAR,USD,2025-06-27,2025-06-15 13:42:22.240269,AAPL,1.7663043478260871,11,1
AAPL250627C00135000,2025-06-12 17:20:36+00:00,135.0,64.72,60.55,62.4,0.0,0.0,1.0,2,0.7382838671874999,True,REGULAR,USD,2025-06-27,2025-06-15 13:42:22.240269,AAPL,2.085908529048208,11,1
AAPL250627C00140000,2025-06-04 19:21:43+00:00,140.0,63.51,56.35,57.1,0.0,0.0,1611.0,7172,0.9179695703125,True,REGULAR,USD,2025-06-27,2025-06-15 13:42:22.240269,AAPL,2.204377263423083,11,1
AAPL250627C00150000,2025-06-10 18:14:17+00:00,150.0,46.75,45.7,47.4,-5.279999,-10.147989,1.0,41,0.64648791015625,True,REGULAR,USD,2025-06-27,2025-06-15 13:42:22.240269,AAPL,3.2085561497326203,11,1
AAPL250627C00160000,2025-06-10 17:14:31+00:00,160.0,42.75,36.25,37.4,0.0,0.0,2.0,1004,0.6342810009765626,True,REGULAR,USD,2025-06-27,2025-06-15 13:42:22.240269,AAPL,3.742690058479532,11,1
AAPL250627C00165000,2025-06-13 17:04:01+00:00,165.0,32.65,31.3,32.6,-4.949997,-13.1648855,31.0,6,0.5888712988281251,True,REGULAR,USD,2025-06-27,2025-06-15 13:42:22.240269,AAPL,5.053598774885145,11,1
AAPL250627C00170000,2025-06-13 19:59:00+00:00,170.0,26.43,26.05,27.45,-2.1299992,-7.4579806,8.0,19,0.6020547607421877,True,REGULAR,USD,2025-06-27,2025-06-15 13:42:22.240269,AAPL,6.432084752175558,11,1
AAPL250627C00175000,2025-06-13 16:59:09+00:00,175.0,23.01,21.7,22.35,-1.3400002,-5.503081,3.0,36,0.495122236328125,True,REGULAR,USD,2025-06-27,2025-06-15 13:42:22.240269,AAPL,7.6053889613211645,11,1
AAPL250627C00180000,2025-06-13 17:27:31+00:00,180.0,17.3,17.15,17.5,-2.1000004,-10.824744,145.0,254,0.4243221630859375,True,REGULAR,USD,2025-06-27,2025-06-15 13:42:22.240269,AAPL,10.404624277456646,11,1
AAPL250627C00185000,2025-06-13 19:59:31+00:00,185.0,12.52,12.65,12.95,-2.5699997,-17.031143,159.0,195,0.3762269409179687,True,REGULAR,USD,2025-06-27,2025-06-15 13:42:22.240269,AAPL,14.776357827476039,11,0
AAPL250627C00190000,2025-06-13 19:55:34+00:00,190.0,8.43,8.6,8.75,-2.0199995,-19.33014,633.0,561,0.33399103515625,True,REGULAR,USD,2025-06-27,2025-06-15 13:42:22.240269,AAPL,22.538552787663107,11,0
AAPL250627C00195000,2025-06-13 19:59:38+00:00,195.0,5.18,5.15,5.35,-1.8700004,-26.524826,1758.0,6394,0.311408253173828,True,REGULAR,USD,2025-06-27,2025-06-15 13:42:22.240269,AAPL,37.64478764478765,11,0
AAPL250627C00200000,2025-06-13 19:58:56+00:00,200.0,2.58,2.68,2.75,-1.4200001,-35.5,8697.0,7265,0.2877268493652343,False,REGULAR,USD,2025-06-27,2025-06-15 13:42:22.240269,AAPL,77.51937984496124,11,0
AAPL250627C00205000,2025-06-13 19:59:56+00:00,205.0,1.17,1.16,1.23,-0.83000004,-41.500004,6992.0,16680,0.2771068383789062,False,REGULAR,USD,2025-06-27,2025-06-15 13:42:22.240269,AAPL,175.21367521367523,11,0
AAPL250627C00210000,2025-06-13 19:59:38+00:00,210.0,0.47,0.47,0.5,-0.42999998,-47.77778,9702.0,12911,0.2756420092773437,False,REGULAR,USD,2025-06-27,2025-06-15 13:42:22.240269,AAPL,446.8085106382979,11,0
AAPL250627C00215000,2025-06-13 19:59:44+00:00,215.0,0.22,0.22,0.24,-0.19,-46.341465,3271.0,9748,0.2919992675781249,False,REGULAR,USD,2025-06-27,2025-06-15 13:42:22.240269,AAPL,977.2727272727273,11,0
AAPL250627C00220000,2025-06-13 19:59:04+00:00,220.0,0.11,0.12,0.13,-0.09,-45.0,3272.0,10373,0.3129951513671875,False,REGULAR,USD,2025-06-27,2025-06-15 13:42:22.240269,AAPL,2000.0,11,0
AAPL250627C00225000,2025-06-13 19:57:23+00:00,225.0,0.08,0.07,0.08,-0.030000001,-27.272728,378.0,4842,0.33789724609375,False,REGULAR,USD,2025-06-27,2025-06-15 13:42:22.240269,AAPL,2812.5,11,0
AAPL250627C00230000,2025-06-13 19:58:21+00:00,230.0,0.04,0.04,0.06,-0.04,-50.0,215.0,5278,0.36914693359375,False,REGULAR,USD,2025-06-27,2025-06-15 13:42:22.240269,AAPL,5750.0,11,0
AAPL250627C00235000,2025-06-13 15:30:34+00:00,235.0,0.04,0.03,0.04,-0.010000002,-20.000004,30.0,1878,0.39063109375,False,REGULAR,USD,2025-06-27,2025-06-15 13:42:22.240269,AAPL,5875.0,11,0
AAPL250627C00240000,2025-06-13 18:18:48+00:00,240.0,0.03,0.02,0.03,-0.01,-25.0,347.0,2376,0.4179745703124999,False,REGULAR,USD,2025-06-27,2025-06-15 13:42:22.240269,AAPL,8000.0,11,1
AAPL250627C00245000,2025-06-13 19:37:47+00:00,245.0,0.03,0.02,0.03,0.0,0.0,108.0,1134,0.45313046875,False,REGULAR,USD,2025-06-27,2025-06-15 13:42:22.240269,AAPL,8166.666666666667,11,1
AAPL250627C00250000,2025-06-13 19:57:09+00:00,250.0,0.01,0.01,0.03,-0.02,-66.66667,6.0,2421,0.492192578125,False,REGULAR,USD,2025-06-27,2025-06-15 13:42:22.240269,AAPL,25000.0,11,1
AAPL250627C00255000,2025-06-13 16:24:31+00:00,255.0,0.01,0.0,0.03,-0.01,-50.0,4.0,1565,0.5273484765625001,False,REGULAR,USD,2025-06-27,2025-06-15 13:42:22.240269,AAPL,25500.0,11,1
AAPL250627C00260000,2025-06-12 16:08:53+00:00,260.0,0.01,0.01,0.02,0.0,0.0,1.0,1774,0.523442265625,False,REGULAR,USD,2025-06-27,2025-06-15 13:42:22.240269,AAPL,26000.0,11,1
AAPL250627C00265000,2025-06-11 19:46:06+00:00,265.0,0.01,0.0,0.02,0.0,0.0,416.0,4574,0.5312546875,False,REGULAR,USD,2025-06-27,2025-06-15 13:42:22.240269,AAPL,26500.0,11,1
AAPL250627C00270000,2025-06-13 19:09:09+00:00,270.0,0.01,0.0,0.02,0.0,0.0,169.0,446,0.5625043750000001,False,REGULAR,USD,2025-06-27,2025-06-15 13:42:22.240269,AAPL,27000.0,11,1
AAPL250627C00275000,2025-06-10 18:28:14+00:00,275.0,0.01,0.0,0.01,0.0,0.0,10.0,83,0.5625043750000001,False,REGULAR,USD,2025-06-27,2025-06-15 13:42:22.240269,AAPL,27500.0,11,1
AAPL250627C00280000,2025-06-10 16:10:05+00:00,280.0,0.01,0.0,0.01,0.0,0.0,5.0,63,0.5937540625000001,False,REGULAR,USD,2025-06-27,2025-06-15 13:42:22.240269,AAPL,28000.0,11,1
AAPL250627C00285000,2025-05-28 15:28:47+00:00,285.0,0.02,0.0,0.01,0.0,0.0,1.0,2,0.6093789062500001,False,REGULAR,USD,2025-06-27,2025-06-15 13:42:22.240269,AAPL,14250.0,11,1
AAPL250627C00290000,2025-05-27 19:52:02+00:00,290.0,0.03,0.0,0.01,0.0,0.0,1.0,13,0.64062859375,False,REGULAR,USD,2025-06-27,2025-06-15 13:42:22.240269,AAPL,9666.666666666668,11,1
AAPL250627C00295000,2025-05-29 14:33:02+00:00,295.0,0.01,0.0,0.01,0.0,0.0,2.0,8,0.6562534375000001,False,REGULAR,USD,2025-06-27,2025-06-15 13:42:22.240269,AAPL,29500.0,11,1
AAPL250627C00300000,2025-05-29 17:04:59+00:00,300.0,0.01,0.0,0.01,0.0,0.0,1.0,6,0.6875031250000001,False,REGULAR,USD,2025-06-27,2025-06-15 13:42:22.240269,AAPL,30000.0,11,1
AAPL250627C00310000,2025-05-28 13:48:20+00:00,310.0,0.02,0.0,0.01,0.0,0.0,100.0,100,0.7500025,False,REGULAR,USD,2025-06-27,2025-06-15 13:42:22.240269,AAPL,15500.0,11,1
AAPL250627C00315000,2025-05-29 15:58:31+00:00,315.0,0.01,0.0,0.01,0.0,0.0,2.0,7,0.7656273437500001,False,REGULAR,USD,2025-06-27,2025-06-15 13:42:22.240269,AAPL,31500.0,11,1
AAPL250627C00325000,2025-05-29 13:30:00+00:00,325.0,0.02,0.0,0.01,0.0,0.0,6.0,40,0.8125018749999999,False,REGULAR,USD,2025-06-27,2025-06-15 13:42:22.240269,AAPL,16250.0,11,1
