contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,expiry,days_to_expiry,spot_price,moneyness,date_collected,day_of_week,month,volume_oi_ratio,bid_ask_spread,mid_price,last_mid_diff,delta,gamma,theta,vega
SPY250630C00509000,2025-06-17 14:03:56+00:00,509.0,91.7,104.43,106.57,0.0,0.0,2.0,0,1.3603547607421875,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8277634486835073,2025-06-29 12:49:52.353214,6,6,2.0,2.1399999999999864,105.5,-13.799999999999997,0.0,0.0,0.0,0.0
SPY250630C00510000,2025-06-27 18:58:25+00:00,510.0,100.82,103.43,105.57,15.82,18.611765,22.0,9,1.3486360693359374,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8293897030031212,2025-06-29 12:49:52.353214,6,6,2.2,2.1399999999999864,104.5,-3.680000000000007,0.0,0.0,0.0,0.0
SPY250630C00511000,2025-06-18 18:54:30+00:00,511.0,87.26,102.43,104.57,0.0,0.0,1.0,0,1.3364290991210934,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8310159573227351,2025-06-29 12:49:52.353214,6,6,1.0,2.1399999999999864,103.5,-16.239999999999995,0.0,0.0,0.0,0.0
SPY250630C00512000,2025-06-18 18:54:30+00:00,512.0,86.24,101.43,103.57,0.0,0.0,1.0,0,1.32422212890625,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8326422116423491,2025-06-29 12:49:52.353214,6,6,1.0,2.1399999999999864,102.5,-16.260000000000005,0.0,0.0,0.0,0.0
SPY250630C00513000,2025-06-16 15:18:51+00:00,513.0,91.27,100.43,102.57,0.0,0.0,1.0,0,1.3125034374999998,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.834268465961963,2025-06-29 12:49:52.353214,6,6,1.0,2.1399999999999864,101.5,-10.230000000000004,0.0,0.0,0.0,0.0
SPY250630C00514000,2025-06-18 18:57:01+00:00,514.0,83.65,99.43,101.57,0.0,0.0,1.0,0,1.3007847460937496,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8358947202815771,2025-06-29 12:49:52.353214,6,6,1.0,2.1399999999999864,100.5,-16.849999999999994,0.0,0.0,0.0,0.0
SPY250630C00515000,2025-06-20 15:07:56+00:00,515.0,80.0,98.43,100.57,0.0,0.0,21.0,26,1.2890660546875,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.837520974601191,2025-06-29 12:49:52.353214,6,6,0.7777777777777778,2.1399999999999864,99.5,-19.5,0.0,0.0,0.0,0.0
SPY250630C00516000,2025-06-16 13:32:43+00:00,516.0,85.4,97.43,99.57,0.0,0.0,2.0,0,1.276859084472656,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.839147228920805,2025-06-29 12:49:52.353214,6,6,2.0,2.1399999999999864,98.5,-13.099999999999994,0.0,0.0,0.0,0.0
SPY250630C00517000,2025-05-02 14:13:55+00:00,517.0,56.04,72.71,75.27,0.0,0.0,1.0,88,1.0000000000000004e-05,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8407734832404189,2025-06-29 12:49:52.353214,6,6,0.011235955056179775,2.5600000000000023,73.99,-17.949999999999996,0.0,0.0,0.0,0.0
SPY250630C00518000,2025-06-27 15:41:01+00:00,518.0,98.05,95.43,97.57,17.220001,21.303972,1.0,2,1.2529334228515625,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.842399737560033,2025-06-29 12:49:52.353214,6,6,0.3333333333333333,2.1399999999999864,96.5,1.5499999999999972,0.0,0.0,0.0,0.0
