contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,expiry,days_to_expiry,spot_price,moneyness,date_collected,bs_price,simulated_pnl_expiry,mc_price,bs_diff,mc_diff,bs_vs_mc,label,predicted_proba,delta,gamma,theta,iv_smoothed_5d,log_return,hist_vol_20d,moneyness_class,day_of_week,month,volume_oi_ratio,bid_ask_spread,mid_price,last_mid_diff,vega,daily_sentiment_score
AAPL250703C00215000,2025-06-27 19:59:55+00:00,215.0,0.07,0.05,0.07,-0.030000001,-30.000002,6584.0,21595,0.2939523730468749,False,REGULAR,USD,AAPL,2025-07-03,3,201.0800018310547,1.069226168898888,2025-06-29 12:49:53.239946,0.01123156246155399,-0.040900735481136395,0.00909926451886361,0.05876843753844602,0.0609007354811364,0.0021322979426903806,1,0.9977175963536203,0.006515364163609413,0.0034131215324588017,-0.016512983234945145,0.26221440917968747,0.0,0.0,ITM,6,6,0.30487127245786255,0.020000000000000004,0.060000000000000005,0.010000000000000002,0.0033342247772048792,0
AAPL250703C00217500,2025-06-27 19:57:18+00:00,217.5,0.04,0.04,0.05,-0.02,-33.333336,2553.0,841,0.3183661914062499,False,REGULAR,USD,AAPL,2025-07-03,3,201.0800018310547,1.0816590313279448,2025-06-29 12:49:53.239946,0.006285557271706432,-0.0353457209602867,0.004654279039713297,0.03371444272829357,0.0353457209602867,0.0016312782319931355,0,0.01365613059919438,0.003562562932178957,0.0018399410974519201,-0.010426613636065432,0.27637442382812494,0.0,0.0,ITM,6,6,3.032066508313539,0.010000000000000002,0.045,-0.0049999999999999975,0.0019466909655429094,0
AAPL250703C00220000,2025-06-27 19:57:46+00:00,220.0,0.04,0.03,0.04,-0.010000002,-20.000004,2264.0,13586,0.3476627734374999,False,REGULAR,USD,AAPL,2025-07-03,3,201.0800018310547,1.0940918937570017,2025-06-29 12:49:53.239946,0.00440710334904626,-0.026945575000055344,0.003054424999944654,0.03559289665095374,0.036945575000055346,0.0013526783491016056,1,0.9892630228933216,0.0023696899654716305,0.0011666430841929512,-0.007874998241187274,0.2966867207031249,0.0,0.0,ITM,6,6,0.1666298667844263,0.010000000000000002,0.035,0.0049999999999999975,0.0013479145228811212,0
AAPL250703C00222500,2025-06-27 19:44:12+00:00,222.5,0.02,0.02,0.03,-0.02,-50.0,46.0,197,0.3711000390625,False,REGULAR,USD,AAPL,2025-07-03,3,201.0800018310547,1.1065247561860585,2025-06-29 12:49:53.239946,0.002752552177663403,-0.01832622466342487,0.0016737753365751327,0.017247447822336597,0.01832622466342487,0.0010787768410882705,0,0.007372689229598199,0.0014428114203187097,0.0006961664950310814,-0.0053495549656572584,0.32051460742187493,0.0,0.0,ITM,6,6,0.23232323232323232,0.009999999999999998,0.025,-0.005000000000000001,0.0008585592451477582,0
AAPL250703C00225000,2025-06-27 19:59:12+00:00,225.0,0.02,0.01,0.02,0.0,0.0,215.0,8078,0.3867248828124999,False,REGULAR,USD,AAPL,2025-07-03,3,201.0800018310547,1.1189576186151151,2025-06-29 12:49:53.239946,0.0014114917740311872,-0.00921985869126489,0.0007801413087351106,0.018588508225968813,0.01921985869126489,0.0006313504652960765,1,0.9979046485944856,0.0007451164855387177,0.00036439083082568047,-0.003038799018995202,0.3435612519531249,0.0,0.0,ITM,6,6,0.02661220448075257,0.01,0.015,0.005000000000000001,0.0004683124548687026,0
AAPL250703C00230000,2025-06-27 19:58:43+00:00,230.0,0.02,0.01,0.02,0.0,0.0,575.0,3295,0.45313046875,False,REGULAR,USD,AAPL,2025-07-03,3,201.0800018310547,1.143823343473229,2025-06-29 12:49:53.239946,0.0013023350646199222,-0.009331115204201006,0.0006688847957989945,0.018697664935380078,0.019331115204201006,0.0006334502688209277,1,0.9979126557026535,0.0005966116458478895,0.0002533273929090682,-0.0028972575577614827,0.37539687109375,0.0,0.0,ITM,6,6,0.17445388349514562,0.01,0.015,0.005000000000000001,0.0003814798211093591,0
AAPL250703C00235000,2025-06-27 19:35:06+00:00,235.0,0.01,0.0,0.01,0.0,0.0,74.0,2575,0.476567734375,False,REGULAR,USD,AAPL,2025-07-03,3,201.0800018310547,1.168689068331343,2025-06-29 12:49:53.239946,0.0003695363941768545,0.00018506541713234526,0.00018506541713234526,0.009630463605823146,0.009814934582867654,0.00018447097704450926,1,0.9998409632107595,0.00017389779018082342,7.65409551877961e-05,-0.0009675881314487301,0.4070371796875,0.0,0.0,ITM,6,6,0.02872670807453416,0.01,0.005,0.005,0.00012122289861634335,0
AAPL250703C00240000,2025-06-27 17:40:28+00:00,240.0,0.01,0.0,0.06,0.0,0.0,125.0,614,0.6015664843750002,False,REGULAR,USD,AAPL,2025-07-03,3,201.0800018310547,1.1935547931894563,2025-06-29 12:49:53.239946,0.001934419129229703,0.00102205841251156,0.00102205841251156,0.008065580870770297,0.00897794158748844,0.000912360716718143,1,0.9998119257957521,0.0006648821955264926,0.00021089426944873133,-0.004245192367629115,0.457817921875,0.0,0.0,ITM,6,6,0.2032520325203252,0.06,0.03,-0.019999999999999997,0.0004216135522324408,0
AAPL250703C00245000,2025-06-27 17:07:08+00:00,245.0,0.01,0.0,0.01,0.0,0.0,26.0,331,0.5625043750000001,False,REGULAR,USD,AAPL,2025-07-03,3,201.0800018310547,1.21842051804757,2025-06-29 12:49:53.239946,0.00014530484148560924,0.0,0.0,0.009854695158514391,0.01,0.00014530484148560924,1,0.99983631801156,6.143050694570304e-05,2.44038105355091e-05,-0.00042935754207671083,0.4960987890625,0.0,0.0,ITM,6,6,0.0783132530120482,0.01,0.005,0.005,4.5619413811412455e-05,0
AAPL250703C00250000,2025-06-23 17:27:11+00:00,250.0,0.01,0.0,0.03,0.0,0.0,2.0,502,0.6718782812500002,False,REGULAR,USD,AAPL,2025-07-03,3,201.0800018310547,1.243286242905684,2025-06-29 12:49:53.239946,0.000607260802435533,0.0003109288418615758,0.0003109288418615758,0.009392739197564467,0.009689071158138425,0.00029633196057395723,1,0.9997954969995636,0.00020178138501312262,6.2388271540682e-05,-0.0015653831905471048,0.5531294687500001,0.0,0.0,ITM,6,6,0.003976143141153081,0.03,0.015,-0.004999999999999999,0.00013930275563843456,0
AAPL250703C00255000,2025-06-24 13:42:21+00:00,255.0,0.01,0.0,0.01,0.0,0.0,1.0,1185,0.6562534375000001,False,REGULAR,USD,AAPL,2025-07-03,3,201.0800018310547,1.2681519677637976,2025-06-29 12:49:53.239946,0.00010235589588508068,0.0,0.0,0.009897644104114919,0.01,0.00010235589588508068,1,0.99983631801156,3.8068032409666566e-05,1.331338746718579e-05,-0.00031860982520950443,0.5937540625000001,0.0,0.0,ITM,6,6,0.0008431703204047217,0.01,0.005,0.005,2.9035299775992453e-05,0
AAPL250703C00260000,2025-06-27 16:45:03+00:00,260.0,0.01,0.0,0.01,-0.03,-75.0,1.0,42,0.70312796875,False,REGULAR,USD,AAPL,2025-07-03,3,201.0800018310547,1.2930176926219112,2025-06-29 12:49:53.239946,9.317894691815778e-05,0.0,0.0,0.009906821053081842,0.01,9.317894691815778e-05,1,0.9997926694185666,3.2619401819695485e-05,1.0736497990111279e-05,-0.00029488504295573445,0.6390661093750001,0.0,0.0,ITM,6,6,0.023255813953488372,0.01,0.005,0.005,2.508783426013725e-05,0
AAPL250703C00265000,2025-06-27 17:00:02+00:00,265.0,0.01,0.0,0.01,-0.02,-66.66667,4.0,213,0.7500025,False,REGULAR,USD,AAPL,2025-07-03,3,201.0800018310547,1.317883417480025,2025-06-29 12:49:53.239946,8.830269791901355e-05,0.0,0.0,0.009911697302080986,0.01,8.830269791901355e-05,1,0.9997819339830547,2.916361644448824e-05,9.05293338981868e-06,-0.00028284352307775626,0.6687533125,0.0,0.0,ITM,6,6,0.018691588785046728,0.01,0.005,0.005,2.256410890813905e-05,0
AAPL250703C00270000,2025-06-24 14:08:26+00:00,270.0,0.01,0.0,0.01,0.0,0.0,10.0,12,0.8125018749999999,False,REGULAR,USD,AAPL,2025-07-03,3,201.0800018310547,1.3427491423381386,2025-06-29 12:49:53.239946,0.00012504179105135658,0.0,0.0,0.009874958208948643,0.01,0.00012504179105135658,1,0.9998252346973008,3.7694990807154795e-05,1.0653482656980319e-05,-0.00039056404668692915,0.7187528125000001,0.0,0.0,ITM,6,6,0.7692307692307693,0.01,0.005,0.005,2.8766175543111296e-05,0
AAPL250703C00275000,2025-06-11 16:13:57+00:00,275.0,0.02,0.0,0.01,0.0,0.0,2.0,3,0.8437515624999999,False,REGULAR,USD,AAPL,2025-07-03,3,201.0800018310547,1.3676148671962522,2025-06-29 12:49:53.239946,8.689334064026621e-05,0.0,0.0,0.019913106659359733,0.02,8.689334064026621e-05,1,0.9998253689425439,2.5709292983232667e-05,7.141123183303778e-06,-0.0002822819709447672,0.75312746875,0.0,0.0,ITM,6,6,0.5,0.01,0.005,0.015,2.002383537234957e-05,0
AAPL250703C00280000,2025-06-10 18:50:12+00:00,280.0,0.02,0.0,0.01,0.0,0.0,1.0,5,0.8906260937499999,False,REGULAR,USD,AAPL,2025-07-03,3,201.0800018310547,1.392480592054366,2025-06-29 12:49:53.239946,8.9245147385438e-05,0.0,0.0,0.01991075485261456,0.02,8.9245147385438e-05,1,0.9998253689425439,2.5067709980990983e-05,6.605158391481502e-06,-0.0002908726297636316,0.8000019999999999,0.0,0.0,ITM,6,6,0.16666666666666666,0.01,0.005,0.015,1.9549911816021757e-05,0
